ID,FREQUENCY,ENABLED,REPORT NAME,API NAME,FILE NAME,URI
64,,FALSE,RTO Startup Cost Recovery Charge Summary,rtostartupcostrecoverychargesummary,RTOSCRCh,https://msrs.pjm.com/msrs/browserless.do?
65,monthly,TRUE,Schedule 9 and 10 Charge Details,schedule9and10chargedetails,9&10ChDet,https://msrs.pjm.com/msrs/browserless.do?
66,weekly,TRUE,Spot Market Energy Charge Summary,spotmarketenergychargesummary,SpotMktCh,https://msrs.pjm.com/msrs/browserless.do?
67,weekly,TRUE,Transmission Congestion Charge Summary,transmissioncongestionchargesummary,CongCh,https://msrs.pjm.com/msrs/browserless.do?
68,weekly,TRUE,Transmission Loss Charge Summary,transmissionlosschargesummary,LossCh,https://msrs.pjm.com/msrs/browserless.do?
69,,FALSE,Transmission Loss Credit Summary,transmissionlosscreditsummary,LossCr,https://msrs.pjm.com/msrs/browserless.do?
70,weekly,TRUE,Sched 1A Charge Summary,sched1achargesummary,1ACh,https://msrs.pjm.com/msrs/browserless.do?
71,weekly,TRUE,Sched 1A Credit Summary,sched1acreditsummary,1ACr,https://msrs.pjm.com/msrs/browserless.do?
72,,FALSE,Zonal Aggregate Definitions,zonalaggregatedefinitions,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
73,,FALSE,Published Report Versions,publishedreportversions,PubRptVer,https://msrs.pjm.com/msrs/browserless.do?
74,,FALSE,ARR Target Credits,arrtargetcredits,ARRTarget,https://msrs.pjm.com/msrs/browserless.do?
75,,FALSE,BLI Adjustment Summary,bliadjustmentsummary,BLIAdj,https://msrs.pjm.com/msrs/browserless.do?
76,,FALSE,BLI Transfer Summary,blitransfersummary,BLITransf,https://msrs.pjm.com/msrs/browserless.do?
77,,FALSE,Monthly Billing Statement - Online and PDF,monthlybillingstatement-onlineandpdf,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
78,,FALSE,Monthly Billing Statement - CSV and XML,monthlybillingstatement-csvandxml,BILLCSVXML,https://msrs.pjm.com/msrs/browserless.do?
79,monthly,TRUE,Black Start Charge Summary,blackstartchargesummary,BlkStCh,https://msrs.pjm.com/msrs/browserless.do?
80,,FALSE,Congestion and Loss Load Recon Charges,congestionandlossloadreconcharges,CLRecCh,https://msrs.pjm.com/msrs/browserless.do?
81,monthly,TRUE,Economic Load Response Zonal Charge Allocations (Pre FERC 745 (04.01.2012)),economicloadresponsezonalchargeallocations(preferc745(04.01.2012)),EcLRZnChA,https://msrs.pjm.com/msrs/browserless.do?
82,,FALSE,Energy & Inadvertent Load Recon Charge Summary,energy&inadvertentloadreconchargesummary,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
83,,FALSE,FERC EQR,ferceqr,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
84,monthly,TRUE,Firm PTP Credit Summary,firmptpcreditsummary,FirmPTPCr,https://msrs.pjm.com/msrs/browserless.do?
85,,FALSE,Generator Credit Summary,generatorcreditsummary,GenCr,https://msrs.pjm.com/msrs/browserless.do?
